대출일자,대출기한,대출유형,반납일자,연체일수,소속,신분,변동,학년,등록번호,서명,저자,출판사,청구기호
2024-02-05 15:19:42,2024-02-12,일반,2024-02-13 17:39:05,0,스마트전기전자공학과,학생,퇴직(졸업),,EM088621,(해커스) 20대기업 인적성 :최신기출유형 + 실전문제  ,"해커스,",해커스잡 :, 325.337해8232
2024-02-06 13:47:01,2024-04-06,일반,2024-02-21 09:44:26,0,산학협력단,교원(전임),재직(학),,EM084366,가재가 노래하는 곳 :델리아 오언스 장편소설  ,"오언스, 델리아,","살림출판사,", 843.6오63ㄱkㄱ
2024-02-06 13:47:02,2024-04-06,일반,2024-02-21 09:44:27,0,산학협력단,교원(전임),재직(학),,EM086581,파친코:이민진 장편소설 .2,이민진,"문학사상사,", 843.6이39ㅍKㅇ2v.2
2024-02-06 13:47:02,2024-04-06,일반,2024-02-21 09:44:28,0,산학협력단,교원(전임),재직(학),,EM086582,파친코:이민진 장편소설 .1,이민진,"문학사상사,", 843.6이39ㅍKㅇ1v.1
2024-02-07 10:53:24,2024-02-22,일반,2024-02-19 09:42:45,0,보건실,직원,퇴직(졸업),,EM088497,"(큰별쌤 최태성의 별별 한국사)한국사능력검정시험:심화(1, 2, 3급) .하",최태성,"이투스북,", 911.0077최832ㅎv.2
2024-02-07 10:53:25,2024-02-22,일반,2024-02-19 09:42:46,0,보건실,직원,퇴직(졸업),,EM088496,"(큰별쌤 최태성의 별별 한국사)한국사능력검정시험:심화(1, 2, 3급) .상",최태성,"이투스북,", 911.0077최832ㅎv.1
2024-02-07 10:53:25,2024-02-22,일반,2024-02-19 09:42:48,0,보건실,직원,퇴직(졸업),,EM088350,(큰별쌤 최태성의 별★별 한국사) 기출 500제 :한국사능력검정시험  ,"최태성,","이투스북,", 911.0077최832ㄱ
2024-02-07 10:53:25,2024-02-22,일반,2024-02-19 09:42:47,0,보건실,직원,퇴직(졸업),,EM088349,(큰별쌤 최태성의 별★별 한국사) 7일의 기적 :한국사능력검정시험  ,최태성,"이투스북,", 911.0077최8327
2024-02-07 17:34:11,2024-02-14,일반,2024-02-22 14:05:27,1,전기전자공학과,학생,재직(학),,EM085261,(2020)에듀윌 산업안전산업기사:필기 한권 끝장 ,에듀윌 산업안전수험연구소,"에듀윌,", 530.98077에227ㅇ
2024-02-08 11:59:01,2024-02-23,일반,2024-02-16 16:47:10,0,사무처,직원,재직(학),,EM085205,우리가 인생이라 부르는 것들:자기 삶의 언어를 찾는 열네 번의 시 강의 ,정재찬,"인플루엔셜,", 001.3정72ㅇ
2024-02-08 12:54:24,2024-02-23,일반,2024-04-23 10:18:54,0,입학학생처(학생),직원,재직(학),,EM088760,"(손오공의 한자 대탐험)마법천자문 .58,온 정성과 힘을 다한다! 최선 (最善)",유대영,"아울북,",CM711.47그239ㅁv.58
2024-02-08 12:54:24,2024-02-23,일반,2024-04-23 10:18:54,0,입학학생처(학생),직원,재직(학),,EM088761,"(손오공의 한자 대탐험) 마법천자문 .59 ,옛 정신을 이어받다! 계승(繼承)",정수영,아울북:,CM711.47그239ㅁv.59
2024-02-08 12:54:25,2024-02-23,일반,2024-04-23 10:18:51,0,입학학생처(학생),직원,재직(학),,EM088758,"(손오공의 한자 대탐험) 마법천자문 .56,보통과 아주 다르다! 특별",유대영,"아울북,",CM711.47그239ㅁv.56
2024-02-08 12:54:25,2024-02-23,일반,2024-04-23 10:18:51,0,입학학생처(학생),직원,재직(학),,EM088759,"(손오공의 한자 대탐험)마법천자문 .57,내 뜻을 알려라! 신호(信號)",정수영,아울북:,CM711.47그239ㅁv.57
2024-02-08 12:54:26,2024-02-23,일반,2024-04-23 10:18:52,0,입학학생처(학생),직원,재직(학),,EM088756,"(손오공의 한자 대탐험) 마법천자문 .54,처음으로 찾아내다! 발견 ",정수영,아울북 :,CM711.47그239ㅁv.54
